employeenumber,department,jobrole,joblevel,educationfield,gender,age,age_band,monthlyincome,overtime,overtime_flag,distancefromhome,jobsatisfaction,worklifebalance,tenure_years,tenure_band,attrition,attrition_flag
1045,Sales,Manager,4,Life Sciences,Female,45,45-54,17650,No,0,11,4,4,9,5-10,No,0
1046,Research & Development,Laboratory Technician,1,Medical,Female,32,25-34,4025,No,0,29,3,3,8,5-10,No,0
1047,Sales,Sales Executive,2,Marketing,Male,34,25-34,9725,No,0,1,4,2,15,10+,No,0
1048,Sales,Manager,3,Technical Degree,Male,59,55+,11904,Yes,1,1,4,1,6,5-10,No,0
1049,Human Resources,Human Resources,1,Medical,Male,45,45-54,2177,No,0,24,2,3,6,5-10,No,0
1050,Sales,Sales Executive,3,Marketing,Female,53,45-54,7525,No,0,2,2,3,15,10+,No,0
1052,Research & Development,Laboratory Technician,2,Other,Male,36,35-44,4834,No,0,15,3,2,1,0-1,Yes,1
1053,Research & Development,Research Scientist,1,Life Sciences,Male,26,25-34,2042,Yes,1,2,1,3,3,2-5,Yes,1
1055,Sales,Sales Representative,1,Life Sciences,Female,34,25-34,2220,Yes,1,10,3,3,1,0-1,No,0
1056,Sales,Sales Representative,1,Medical,Male,28,25-34,1052,No,0,10,2,3,1,0-1,No,0
1060,Research & Development,Research Scientist,1,Other,Male,38,35-44,2821,No,0,3,3,3,2,1-2,No,0
1061,Research & Development,Research Director,5,Medical,Male,50,45-54,19237,Yes,1,2,3,2,8,5-10,No,0
1062,Research & Development,Healthcare Representative,2,Other,Female,37,35-44,4107,No,0,3,2,2,4,2-5,No,0
1066,Sales,Sales Executive,2,Marketing,Male,40,35-44,8396,No,0,26,1,2,7,5-10,No,0
1068,Research & Development,Research Scientist,1,Medical,Female,26,25-34,2007,No,0,1,3,3,5,2-5,No,0
1069,Research & Development,Research Director,5,Medical,Male,46,45-54,19627,No,0,1,4,3,2,1-2,No,0
1070,Sales,Sales Executive,3,Life Sciences,Female,54,45-54,10686,No,0,2,3,3,9,5-10,No,0
1071,Research & Development,Research Scientist,1,Medical,Female,56,55+,2942,No,0,9,3,3,5,2-5,No,0
1073,Research & Development,Manufacturing Director,3,Medical,Female,36,35-44,8858,No,0,12,4,2,14,10+,No,0
1074,Research & Development,Manager,4,Medical,Male,55,55+,16756,No,0,2,1,4,9,5-10,No,0
1076,Sales,Sales Executive,3,Medical,Male,43,35-44,10798,No,0,25,4,3,1,0-1,No,0
1077,Sales,Sales Representative,1,Marketing,Female,20,<25,2323,Yes,1,9,4,3,2,1-2,Yes,1
1079,Research & Development,Laboratory Technician,1,Life Sciences,Female,21,<25,1416,No,0,10,1,2,1,0-1,Yes,1
1080,Research & Development,Research Scientist,2,Life Sciences,Female,46,45-54,4615,Yes,1,8,1,3,16,10+,No,0
1081,Research & Development,Research Scientist,1,Life Sciences,Male,51,45-54,2461,Yes,1,4,3,4,10,5-10,Yes,1
1082,Research & Development,Healthcare Representative,3,Technical Degree,Male,28,25-34,8722,No,0,24,1,2,10,5-10,Yes,1
1083,Research & Development,Laboratory Technician,1,Medical,Male,26,25-34,3955,No,0,1,1,3,5,2-5,No,0
1084,Research & Development,Manufacturing Director,2,Other,Male,30,25-34,9957,No,0,20,1,2,6,5-10,No,0
1085,Research & Development,Research Scientist,1,Technical Degree,Female,41,35-44,3376,No,0,7,3,3,10,5-10,No,0
1088,Research & Development,Healthcare Representative,3,Life Sciences,Female,38,35-44,8823,No,0,17,3,2,19,10+,No,0
1092,Research & Development,Healthcare Representative,3,Technical Degree,Male,40,35-44,10322,No,0,20,4,3,11,10+,No,0
1094,Research & Development,Laboratory Technician,1,Life Sciences,Male,27,25-34,4621,No,0,8,3,3,3,2-5,No,0
1096,Research & Development,Manufacturing Director,3,Life Sciences,Male,55,55+,10976,No,0,2,2,3,3,2-5,No,0
1097,Research & Development,Research Scientist,2,Other,Female,28,25-34,3660,No,0,10,3,4,8,5-10,No,0
1098,Human Resources,Human Resources,3,Medical,Male,44,35-44,10482,No,0,1,1,3,20,10+,Yes,1
1099,Research & Development,Healthcare Representative,3,Life Sciences,Male,33,25-34,7119,No,0,5,4,3,3,2-5,No,0
1100,Sales,Sales Executive,3,Technical Degree,Male,35,35-44,9582,Yes,1,4,1,3,8,5-10,Yes,1
1101,Research & Development,Research Scientist,2,Medical,Female,33,25-34,4508,No,0,29,3,3,13,10+,Yes,1
1102,Research & Development,Laboratory Technician,1,Life Sciences,Male,28,25-34,2207,No,0,15,3,2,4,2-5,No,0
1103,Research & Development,Healthcare Representative,2,Life Sciences,Male,34,25-34,7756,No,0,3,4,2,6,5-10,No,0
1105,Sales,Sales Executive,2,Life Sciences,Female,37,35-44,6694,Yes,1,10,4,3,1,0-1,No,0
1106,Research & Development,Laboratory Technician,1,Technical Degree,Male,25,25-34,3691,Yes,1,4,4,4,7,5-10,Yes,1
1107,Research & Development,Laboratory Technician,1,Medical,Male,26,25-34,2377,No,0,21,3,2,1,0-1,Yes,1
1108,Research & Development,Research Scientist,1,Medical,Male,33,25-34,2313,Yes,1,25,2,3,2,1-2,Yes,1
1109,Research & Development,Manager,4,Medical,Male,42,35-44,17665,No,0,2,1,3,22,10+,No,0
1111,Research & Development,Laboratory Technician,1,Medical,Male,28,25-34,2596,No,0,1,2,3,1,0-1,Yes,1
1113,Sales,Sales Executive,2,Other,Male,50,45-54,4728,Yes,1,1,3,3,0,0-1,Yes,1
1114,Sales,Sales Executive,2,Life Sciences,Female,33,25-34,4302,No,0,7,2,3,3,2-5,No,0
1115,Research & Development,Research Scientist,1,Life Sciences,Male,34,25-34,2979,No,0,3,4,3,0,0-1,No,0
1116,Research & Development,Manager,4,Medical,Male,48,45-54,16885,No,0,1,4,2,5,2-5,No,0
1117,Sales,Sales Executive,2,Life Sciences,Female,45,45-54,5593,No,0,9,3,3,15,10+,No,0
1118,Research & Development,Healthcare Representative,3,Life Sciences,Male,52,45-54,10445,No,0,7,2,3,8,5-10,No,0
1119,Sales,Sales Executive,3,Marketing,Male,38,35-44,8740,Yes,1,10,3,3,8,5-10,No,0
1120,Research & Development,Research Scientist,1,Life Sciences,Female,29,25-34,2514,No,0,28,4,3,7,5-10,No,0
1121,Research & Development,Manufacturing Director,3,Medical,Female,28,25-34,7655,No,0,3,2,2,9,5-10,No,0
1124,Sales,Manager,4,Marketing,Male,46,45-54,17465,No,0,3,3,3,12,10+,No,0
1125,Sales,Sales Executive,3,Marketing,Male,38,35-44,7351,No,0,2,2,3,1,0-1,No,0
1126,Research & Development,Manufacturing Director,3,Life Sciences,Female,43,35-44,10820,No,0,27,1,3,8,5-10,No,0
1127,Research & Development,Healthcare Representative,4,Life Sciences,Male,39,35-44,12169,No,0,2,4,3,18,10+,Yes,1
1128,Research & Development,Research Director,5,Medical,Male,40,35-44,19626,No,0,14,3,4,20,10+,No,0
1131,Research & Development,Research Scientist,1,Technical Degree,Female,21,<25,2070,Yes,1,1,2,4,2,1-2,No,0
1132,Research & Development,Laboratory Technician,2,Life Sciences,Male,39,35-44,6782,No,0,9,2,2,5,2-5,No,0
1133,Research & Development,Manufacturing Director,2,Life Sciences,Male,36,35-44,7779,No,0,18,4,3,11,10+,No,0
1135,Sales,Sales Representative,1,Life Sciences,Male,31,25-34,2791,No,0,20,4,3,2,1-2,No,0
1136,Research & Development,Research Scientist,1,Life Sciences,Male,28,25-34,3201,No,0,2,2,1,5,2-5,No,0
1137,Sales,Sales Executive,2,Marketing,Male,35,35-44,4968,No,0,11,4,3,5,2-5,No,0
1138,Sales,Sales Executive,4,Technical Degree,Male,49,45-54,13120,No,0,8,2,3,9,5-10,No,0
1140,Research & Development,Manufacturing Director,2,Life Sciences,Male,34,25-34,4033,No,0,2,3,2,3,2-5,No,0
1143,Research & Development,Research Scientist,1,Life Sciences,Female,29,25-34,3291,No,0,10,2,2,7,5-10,No,0
1148,Research & Development,Laboratory Technician,2,Medical,Male,42,35-44,4272,No,0,29,4,3,1,0-1,No,0
1150,Research & Development,Manufacturing Director,2,Medical,Male,29,25-34,5056,Yes,1,8,4,2,10,5-10,No,0
1152,Human Resources,Human Resources,1,Human Resources,Male,38,35-44,2844,No,0,1,3,4,7,5-10,No,0
1154,Research & Development,Research Scientist,1,Life Sciences,Male,28,25-34,2703,Yes,1,6,3,3,3,2-5,No,0
1156,Research & Development,Laboratory Technician,1,Medical,Male,18,<25,1904,No,0,8,3,3,0,0-1,Yes,1
1157,Sales,Sales Executive,2,Marketing,Female,33,25-34,8224,Yes,1,9,1,3,5,2-5,Yes,1
1158,Research & Development,Laboratory Technician,1,Life Sciences,Male,41,35-44,4766,Yes,1,12,4,3,1,0-1,No,0
1160,Research & Development,Laboratory Technician,1,Medical,Male,31,25-34,2610,No,0,15,3,2,2,1-2,Yes,1
1161,Research & Development,Healthcare Representative,2,Medical,Female,37,35-44,5731,No,0,25,4,3,6,5-10,No,0
1162,Research & Development,Research Scientist,1,Life Sciences,Male,27,25-34,2539,No,0,6,3,3,4,2-5,No,0
1163,Sales,Sales Executive,2,Life Sciences,Female,34,25-34,5714,No,0,9,3,2,6,5-10,No,0
1164,Human Resources,Human Resources,1,Technical Degree,Male,35,35-44,4323,No,0,8,3,1,5,2-5,No,0
1165,Sales,Sales Executive,3,Life Sciences,Female,29,25-34,7336,No,0,23,1,1,11,10+,Yes,1
1166,Research & Development,Research Director,3,Medical,Female,40,35-44,13499,No,0,9,3,2,18,10+,No,0
1167,Sales,Sales Executive,4,Life Sciences,Male,42,35-44,13758,Yes,1,12,1,2,21,10+,Yes,1
1171,Sales,Sales Executive,2,Marketing,Male,42,35-44,5155,No,0,4,1,4,6,5-10,No,0
1172,Research & Development,Laboratory Technician,1,Medical,Male,35,35-44,2258,No,0,1,3,3,8,5-10,No,0
1173,Research & Development,Laboratory Technician,1,Medical,Male,24,<25,3597,No,0,24,2,3,4,2-5,No,0
1175,Research & Development,Laboratory Technician,1,Life Sciences,Female,28,25-34,2515,Yes,1,12,4,2,1,0-1,Yes,1
1177,Research & Development,Laboratory Technician,1,Medical,Male,26,25-34,4420,No,0,3,4,3,8,5-10,No,0
1179,Sales,Sales Executive,2,Marketing,Male,30,25-34,6578,No,0,10,3,3,10,5-10,No,0
1180,Research & Development,Research Scientist,2,Medical,Female,40,35-44,4422,Yes,1,26,4,1,1,0-1,No,0
1182,Research & Development,Manufacturing Director,3,Life Sciences,Male,35,35-44,10274,No,0,2,2,4,7,5-10,No,0
1184,Research & Development,Healthcare Representative,2,Medical,Male,34,25-34,5343,No,0,1,1,3,13,10+,No,0
1185,Research & Development,Laboratory Technician,1,Other,Male,35,35-44,2376,No,0,4,4,4,2,1-2,No,0
1188,Sales,Sales Executive,2,Marketing,Female,43,35-44,5346,No,0,9,3,2,4,2-5,Yes,1
1190,Sales,Sales Representative,1,Life Sciences,Female,32,25-34,2827,No,0,2,1,3,1,0-1,No,0
1191,Research & Development,Manager,5,Technical Degree,Female,56,55+,19943,No,0,4,1,3,5,2-5,No,0
1192,Research & Development,Laboratory Technician,1,Medical,Female,29,25-34,3131,No,0,6,4,3,10,5-10,No,0
1193,Research & Development,Research Scientist,1,Life Sciences,Male,19,<25,2552,No,0,9,1,3,1,0-1,No,0
1195,Research & Development,Research Scientist,1,Medical,Female,45,45-54,4477,Yes,1,7,3,2,3,2-5,No,0
1196,Research & Development,Manufacturing Director,2,Life Sciences,Female,37,35-44,6474,No,0,1,4,2,14,10+,No,0
1198,Research & Development,Laboratory Technician,1,Life Sciences,Male,20,<25,3033,No,0,3,3,2,2,1-2,No,0
1200,Research & Development,Research Scientist,1,Life Sciences,Male,44,35-44,2936,Yes,1,10,3,3,6,5-10,Yes,1
1201,Research & Development,Manager,5,Medical,Female,53,45-54,18606,No,0,7,3,3,7,5-10,No,0
1202,Research & Development,Research Scientist,1,Life Sciences,Female,29,25-34,2168,Yes,1,15,4,2,5,2-5,No,0
1203,Research & Development,Research Scientist,1,Life Sciences,Male,22,<25,2853,Yes,1,3,4,3,0,0-1,Yes,1
1204,Sales,Manager,4,Marketing,Female,46,45-54,17048,No,0,2,1,3,26,10+,No,0
1206,Research & Development,Research Scientist,1,Life Sciences,Male,44,35-44,2290,No,0,17,3,3,0,0-1,No,0
1207,Human Resources,Human Resources,1,Human Resources,Male,33,25-34,3600,No,0,2,3,3,5,2-5,No,0
1210,Research & Development,Research Scientist,1,Life Sciences,Male,41,35-44,2107,No,0,5,1,1,1,0-1,Yes,1
1211,Sales,Sales Executive,2,Life Sciences,Male,30,25-34,4115,No,0,29,1,3,4,2-5,No,0
1212,Sales,Sales Executive,2,Medical,Male,40,35-44,4327,No,0,2,2,3,0,0-1,No,0
1215,Research & Development,Manager,4,Medical,Female,50,45-54,17856,No,0,2,1,3,2,1-2,No,0
1216,Research & Development,Laboratory Technician,1,Medical,Male,28,25-34,3196,No,0,19,1,3,6,5-10,No,0
1217,Research & Development,Research Director,5,Life Sciences,Male,46,45-54,19081,No,0,15,2,3,4,2-5,No,0
1218,Sales,Sales Executive,2,Life Sciences,Male,35,35-44,8966,Yes,1,17,1,3,7,5-10,No,0
1219,Research & Development,Laboratory Technician,1,Life Sciences,Female,24,<25,2210,No,0,17,2,1,1,0-1,Yes,1
1220,Sales,Sales Executive,2,Medical,Female,33,25-34,4539,No,0,25,3,2,10,5-10,No,0
1221,Research & Development,Laboratory Technician,1,Life Sciences,Male,36,35-44,2741,No,0,6,3,3,7,5-10,No,0
1224,Research & Development,Laboratory Technician,2,Life Sciences,Male,30,25-34,3491,No,0,7,3,2,10,5-10,No,0
1225,Research & Development,Research Scientist,2,Other,Male,44,35-44,4541,No,0,29,4,3,20,10+,No,0
1226,Sales,Sales Representative,1,Marketing,Male,20,<25,2678,No,0,21,4,3,2,1-2,No,0
1228,Research & Development,Manufacturing Director,2,Technical Degree,Male,46,45-54,7379,No,0,2,4,2,6,5-10,No,0
1231,Human Resources,Human Resources,2,Medical,Male,42,35-44,6272,No,0,2,1,4,4,2-5,No,0
1233,Sales,Sales Executive,2,Marketing,Male,60,55+,5220,Yes,1,7,4,3,11,10+,No,0
1234,Research & Development,Laboratory Technician,1,Other,Female,32,25-34,2743,No,0,13,2,3,2,1-2,No,0
1235,Research & Development,Research Scientist,2,Life Sciences,Female,32,25-34,4998,Yes,1,2,3,3,8,5-10,No,0
1237,Research & Development,Manufacturing Director,3,Technical Degree,Female,36,35-44,10252,Yes,1,1,1,3,7,5-10,No,0
1238,Research & Development,Research Scientist,1,Medical,Male,33,25-34,2781,No,0,9,4,3,14,10+,No,0
1239,Sales,Sales Executive,2,Technical Degree,Female,40,35-44,6852,No,0,10,2,4,5,2-5,No,0
1240,Sales,Sales Executive,2,Life Sciences,Male,25,25-34,4950,No,0,10,4,3,4,2-5,No,0
1241,Research & Development,Research Scientist,1,Medical,Male,30,25-34,3579,Yes,1,1,2,3,11,10+,No,0
1242,Research & Development,Research Director,3,Medical,Female,42,35-44,13191,Yes,1,26,1,3,1,0-1,No,0
1243,Sales,Sales Executive,3,Marketing,Female,35,35-44,10377,Yes,1,8,4,2,13,10+,No,0
1244,Research & Development,Research Scientist,1,Life Sciences,Male,27,25-34,2235,Yes,1,14,1,2,9,5-10,No,0
1245,Research & Development,Manufacturing Director,3,Life Sciences,Female,54,45-54,10502,No,0,1,3,1,5,2-5,No,0
1246,Research & Development,Research Scientist,1,Life Sciences,Female,44,35-44,2011,No,0,2,4,3,10,5-10,No,0
1248,Research & Development,Research Scientist,1,Medical,Female,19,<25,1859,Yes,1,10,2,4,1,0-1,Yes,1
1249,Research & Development,Research Scientist,1,Life Sciences,Female,29,25-34,3760,No,0,1,4,3,3,2-5,No,0
1250,Research & Development,Research Director,4,Life Sciences,Male,54,45-54,17779,No,0,3,4,3,10,5-10,No,0
1251,Research & Development,Healthcare Representative,2,Medical,Male,31,25-34,6833,Yes,1,11,1,2,6,5-10,No,0
1252,Research & Development,Healthcare Representative,2,Medical,Female,31,25-34,6812,No,0,24,1,3,10,5-10,No,0
1254,Sales,Sales Executive,2,Life Sciences,Female,59,55+,5171,No,0,3,4,3,6,5-10,No,0
1255,Research & Development,Research Director,5,Life Sciences,Male,43,35-44,19740,No,0,3,4,3,8,5-10,No,0
1256,Research & Development,Manager,5,Medical,Male,49,45-54,18711,No,0,4,3,4,1,0-1,No,0
1257,Research & Development,Research Scientist,1,Technical Degree,Male,36,35-44,3692,No,0,3,2,2,11,10+,No,0
1258,Research & Development,Laboratory Technician,1,Technical Degree,Male,48,45-54,2559,No,0,2,2,2,1,0-1,No,0
1259,Research & Development,Research Scientist,1,Life Sciences,Male,27,25-34,2517,No,0,4,3,3,5,2-5,No,0
1260,Research & Development,Healthcare Representative,2,Life Sciences,Male,29,25-34,6623,Yes,1,7,4,3,6,5-10,No,0
1263,Research & Development,Research Director,5,Life Sciences,Male,48,45-54,18265,No,0,1,4,4,1,0-1,No,0
1264,Research & Development,Research Director,4,Life Sciences,Female,29,25-34,16124,No,0,1,4,2,7,5-10,No,0
1265,Research & Development,Research Scientist,1,Technical Degree,Female,34,25-34,2585,No,0,20,3,2,1,0-1,No,0
1267,Sales,Manager,5,Marketing,Male,44,35-44,18213,No,0,5,2,3,22,10+,No,0
1268,Sales,Sales Executive,3,Marketing,Male,33,25-34,8380,Yes,1,10,3,3,9,5-10,No,0
1269,Research & Development,Research Scientist,1,Life Sciences,Female,19,<25,2994,Yes,1,25,4,3,1,0-1,No,0
1270,Research & Development,Research Scientist,1,Life Sciences,Male,23,<25,1223,No,0,1,3,3,1,0-1,No,0
1273,Sales,Sales Representative,1,Life Sciences,Male,25,25-34,1118,Yes,1,24,4,3,1,0-1,Yes,1
1275,Research & Development,Research Scientist,1,Life Sciences,Male,26,25-34,2875,Yes,1,4,4,2,8,5-10,No,0
1277,Sales,Manager,5,Marketing,Female,45,45-54,18824,Yes,1,2,2,3,24,10+,Yes,1
1278,Research & Development,Healthcare Representative,4,Medical,Male,55,55+,13577,Yes,1,8,2,3,33,10+,No,0
1279,Research & Development,Laboratory Technician,1,Life Sciences,Female,21,<25,2625,No,0,10,3,1,2,1-2,Yes,1
1280,Sales,Manager,5,Marketing,Female,46,45-54,18789,No,0,4,2,3,11,10+,No,0
1281,Sales,Sales Executive,2,Marketing,Female,34,25-34,4538,Yes,1,2,1,3,3,2-5,No,0
1282,Sales,Manager,5,Life Sciences,Male,51,45-54,19847,Yes,1,9,2,2,29,10+,No,0
1283,Research & Development,Manufacturing Director,3,Medical,Male,59,55+,10512,No,0,18,4,2,9,5-10,No,0
1285,Research & Development,Laboratory Technician,2,Medical,Female,34,25-34,4444,No,0,19,2,4,11,10+,No,0
1286,Research & Development,Laboratory Technician,1,Medical,Male,28,25-34,2154,Yes,1,1,3,2,4,2-5,No,0
1288,Research & Development,Manager,5,Life Sciences,Male,44,35-44,19190,No,0,4,1,2,25,10+,No,0
1289,Human Resources,Human Resources,2,Life Sciences,Male,34,25-34,4490,No,0,11,2,4,10,5-10,No,0
1291,Research & Development,Research Scientist,1,Life Sciences,Male,35,35-44,3506,Yes,1,6,3,3,3,2-5,No,0
1292,Research & Development,Research Scientist,2,Medical,Female,42,35-44,2372,Yes,1,7,2,3,1,0-1,No,0
1293,Sales,Sales Executive,3,Marketing,Female,43,35-44,10231,No,0,4,4,4,21,10+,No,0
1294,Research & Development,Manufacturing Director,2,Life Sciences,Female,36,35-44,5410,Yes,1,2,2,3,16,10+,No,0
1295,Research & Development,Healthcare Representative,3,Medical,Female,44,35-44,7978,No,0,15,4,3,10,5-10,Yes,1
1296,Research & Development,Laboratory Technician,1,Life Sciences,Male,28,25-34,3867,Yes,1,2,4,3,2,1-2,No,0
1297,Research & Development,Laboratory Technician,1,Medical,Female,51,45-54,2838,No,0,6,3,2,7,5-10,No,0
1298,Research & Development,Manufacturing Director,2,Medical,Female,30,25-34,4695,Yes,1,9,3,3,8,5-10,No,0
1299,Research & Development,Laboratory Technician,1,Technical Degree,Female,29,25-34,3339,Yes,1,7,3,3,7,5-10,Yes,1
1301,Research & Development,Research Scientist,1,Technical Degree,Male,28,25-34,2080,No,0,1,1,2,3,2-5,No,0
1303,Research & Development,Research Scientist,1,Medical,Female,25,25-34,2096,No,0,1,2,2,2,1-2,No,0
1304,Sales,Sales Executive,2,Medical,Male,32,25-34,6209,No,0,8,4,4,10,5-10,No,0
1306,Research & Development,Manager,5,Medical,Female,45,45-54,18061,No,0,25,2,3,0,0-1,No,0
1307,Research & Development,Manager,4,Medical,Female,39,35-44,17123,Yes,1,13,2,3,19,10+,No,0
1308,Research & Development,Research Scientist,1,Life Sciences,Male,58,55+,2372,No,0,23,3,3,2,1-2,No,0
1309,Research & Development,Laboratory Technician,2,Life Sciences,Male,32,25-34,4883,No,0,7,3,3,10,5-10,Yes,1
1310,Research & Development,Research Scientist,1,Medical,Male,39,35-44,3904,No,0,23,1,3,5,2-5,Yes,1
1311,Research & Development,Laboratory Technician,2,Technical Degree,Female,30,25-34,4627,No,0,6,4,3,9,5-10,No,0
1312,Research & Development,Healthcare Representative,3,Technical Degree,Female,36,35-44,7094,No,0,10,3,3,7,5-10,No,0
1314,Human Resources,Human Resources,1,Life Sciences,Female,46,45-54,3423,No,0,1,1,4,7,5-10,No,0
1315,Research & Development,Laboratory Technician,2,Life Sciences,Female,28,25-34,6674,No,0,1,4,3,9,5-10,No,0
1317,Research & Development,Research Director,4,Life Sciences,Female,50,45-54,16880,Yes,1,28,1,3,3,2-5,No,0
1318,Sales,Sales Executive,3,Marketing,Male,40,35-44,9094,Yes,1,25,2,3,5,2-5,Yes,1
1319,Sales,Sales Executive,3,Life Sciences,Male,52,45-54,8446,Yes,1,5,2,2,8,5-10,Yes,1
1321,Research & Development,Manager,3,Medical,Female,30,25-34,11916,Yes,1,17,1,3,9,5-10,No,0
1322,Research & Development,Manufacturing Director,2,Life Sciences,Male,39,35-44,4534,No,0,18,3,3,8,5-10,No,0
1324,Sales,Sales Executive,3,Life Sciences,Female,31,25-34,9852,Yes,1,2,3,2,10,5-10,No,0
1329,Sales,Sales Executive,2,Medical,Male,41,35-44,6151,No,0,10,2,3,19,10+,No,0
1331,Sales,Sales Representative,1,Life Sciences,Female,31,25-34,2302,Yes,1,1,2,4,3,2-5,Yes,1
1333,Research & Development,Laboratory Technician,1,Life Sciences,Male,44,35-44,2362,No,0,3,1,4,3,2-5,Yes,1
1334,Research & Development,Manager,4,Life Sciences,Male,42,35-44,17861,Yes,1,2,3,2,20,10+,No,0
1336,Research & Development,Manager,5,Medical,Female,55,55+,19187,No,0,2,3,3,19,10+,No,0
1338,Human Resources,Manager,5,Life Sciences,Male,56,55+,19717,No,0,8,2,3,7,5-10,No,0
1340,Research & Development,Research Scientist,1,Life Sciences,Male,40,35-44,3544,No,0,16,3,3,4,2-5,No,0
1344,Research & Development,Healthcare Representative,3,Life Sciences,Male,34,25-34,8500,No,0,9,4,2,9,5-10,No,0
1346,Research & Development,Research Scientist,2,Life Sciences,Male,40,35-44,4661,No,0,2,4,3,9,5-10,No,0
1349,Sales,Sales Executive,2,Marketing,Female,41,35-44,4103,No,0,1,1,3,9,5-10,No,0
1350,Research & Development,Research Scientist,2,Life Sciences,Male,35,35-44,4249,Yes,1,4,3,3,9,5-10,No,0
1352,Human Resources,Manager,4,Life Sciences,Male,51,45-54,14026,Yes,1,5,2,3,33,10+,No,0
1355,Sales,Sales Executive,2,Life Sciences,Female,38,35-44,6893,No,0,2,1,3,7,5-10,No,0
1356,Sales,Sales Executive,2,Medical,Female,34,25-34,6125,No,0,15,1,4,10,5-10,No,0
1358,Research & Development,Laboratory Technician,1,Medical,Male,25,25-34,3669,No,0,19,4,2,3,2-5,No,0
1360,Research & Development,Manufacturing Director,3,Medical,Female,58,55+,10008,Yes,1,7,1,2,10,5-10,Yes,1
1361,Research & Development,Laboratory Technician,1,Life Sciences,Male,40,35-44,2387,No,0,1,2,3,4,2-5,No,0
1362,Sales,Sales Executive,2,Marketing,Female,36,35-44,4639,No,0,7,1,2,15,10+,No,0
1363,Research & Development,Manufacturing Director,3,Life Sciences,Male,48,45-54,7898,No,0,4,4,3,10,5-10,No,0
1364,Sales,Sales Representative,1,Medical,Female,27,25-34,2534,No,0,11,4,3,1,0-1,No,0
1367,Research & Development,Manufacturing Director,4,Technical Degree,Female,51,45-54,13142,No,0,11,2,2,5,2-5,No,0
1368,Research & Development,Laboratory Technician,1,Life Sciences,Female,18,<25,1611,No,0,1,4,4,0,0-1,No,0
1369,Research & Development,Laboratory Technician,2,Medical,Female,35,35-44,5363,No,0,1,4,3,9,5-10,No,0
1371,Sales,Sales Executive,2,Life Sciences,Male,27,25-34,5071,No,0,2,4,3,6,5-10,No,0
1372,Sales,Sales Executive,4,Marketing,Male,55,55+,13695,Yes,1,13,3,2,19,10+,Yes,1
1373,Research & Development,Manufacturing Director,4,Life Sciences,Male,56,55+,13402,Yes,1,23,2,3,19,10+,No,0
1374,Research & Development,Research Scientist,1,Technical Degree,Female,34,25-34,2029,No,0,26,3,3,5,2-5,No,0
1375,Research & Development,Healthcare Representative,2,Medical,Female,40,35-44,6377,No,0,2,3,3,12,10+,No,0
1377,Research & Development,Laboratory Technician,2,Medical,Male,34,25-34,5429,No,0,29,3,3,8,5-10,No,0
1379,Sales,Sales Representative,1,Life Sciences,Female,31,25-34,2785,No,0,2,4,4,1,0-1,Yes,1
1380,Sales,Sales Executive,2,Marketing,Female,35,35-44,4614,Yes,1,18,3,2,4,2-5,Yes,1
1382,Research & Development,Research Scientist,1,Life Sciences,Male,38,35-44,2610,No,0,7,3,3,4,2-5,No,0
1383,Research & Development,Healthcare Representative,2,Technical Degree,Female,34,25-34,6687,No,0,2,4,4,14,10+,No,0
1387,Sales,Sales Executive,2,Life Sciences,Male,28,25-34,4724,No,0,26,1,3,5,2-5,No,0
1389,Research & Development,Manufacturing Director,2,Medical,Male,31,25-34,6179,Yes,1,22,3,2,10,5-10,Yes,1
1390,Sales,Sales Executive,2,Life Sciences,Male,39,35-44,6120,Yes,1,21,4,4,5,2-5,No,0
1391,Sales,Sales Executive,3,Marketing,Male,51,45-54,10596,No,0,2,2,3,4,2-5,No,0
1392,Research & Development,Research Scientist,2,Life Sciences,Female,41,35-44,5467,Yes,1,22,4,2,6,5-10,No,0
1394,Research & Development,Research Scientist,1,Life Sciences,Male,37,35-44,2996,Yes,1,4,3,3,6,5-10,No,0
1395,Sales,Sales Executive,2,Life Sciences,Male,33,25-34,9998,No,0,5,4,4,5,2-5,No,0
1396,Sales,Sales Executive,2,Marketing,Male,32,25-34,4078,Yes,1,2,2,2,3,2-5,No,0
1397,Research & Development,Healthcare Representative,3,Life Sciences,Male,39,35-44,10920,No,0,25,3,3,6,5-10,No,0
1399,Sales,Sales Executive,2,Life Sciences,Male,25,25-34,6232,No,0,18,3,2,3,2-5,No,0
1401,Research & Development,Manufacturing Director,4,Medical,Female,52,45-54,13247,Yes,1,28,3,2,5,2-5,No,0
1402,Research & Development,Research Scientist,2,Medical,Female,43,35-44,4081,Yes,1,6,3,1,20,10+,No,0
1403,Sales,Sales Executive,2,Marketing,Female,27,25-34,5769,Yes,1,10,4,3,6,5-10,No,0
1405,Research & Development,Research Scientist,1,Life Sciences,Female,27,25-34,2394,Yes,1,17,3,3,8,5-10,Yes,1
1407,Research & Development,Research Scientist,1,Medical,Male,26,25-34,3904,No,0,2,4,3,4,2-5,No,0
1408,Human Resources,Manager,4,Human Resources,Female,42,35-44,16799,No,0,10,1,3,20,10+,No,0
1409,Research & Development,Laboratory Technician,1,Other,Female,52,45-54,2950,No,0,8,1,1,5,2-5,No,0
1411,Research & Development,Laboratory Technician,1,Medical,Female,37,35-44,3629,No,0,11,3,3,3,2-5,No,0
1412,Research & Development,Manufacturing Director,3,Life Sciences,Male,35,35-44,9362,No,0,18,4,3,2,1-2,No,0
